,RMSE,R²
methane_INIR2ME5,0.013872917506804468,0.9945411587849073
methane_SJH5,0.05295936333973026,0.9204481350639733
methaneEQBusVoltage_TGS2611C00,0.26412571705071286,-0.9787286065223455
