feature,lag_seconds,lag_samples,peak_corr
methane_GSR001ACON,0.000000,0,1.000000
methane_INIR2ME5,-58.000000,-58,0.993302
methane_SJH5,-52.000000,-52,0.950012
methaneEQBusVoltage_TGS2611C00,-47.000000,-47,0.880671
barrometricPressureBars_WIMDA,-146.000000,-146,0.848970
relativeHumidity_WIMDA,600.000000,600,0.478741
temperature_INIR2ME5,-600.000000,-600,-0.426867
dewPoint_WIMDA,600.000000,600,-0.527687
airTemperature_WIMDA,-600.000000,-600,-0.637855
